index,legal_entity,counter_party,tier,max_rating_counter_party,sum_value_ARAP,sum_value_ACCR
0,L1,C1,1,3,40,0
1,L1,C3,3,6,5,0
2,L1,C4,4,6,40,100
3,L2,C2,2,3,20,40
4,L2,C3,3,6,0,52
5,L2,C5,5,6,1000,115
6,L3,C3,3,6,0,145
7,L3,C6,6,6,145,60
8,Total,Total,Total,6,1250,512
0,L1,Total,Total,6,85,100
1,L2,Total,Total,6,1020,207
2,L3,Total,Total,6,145,205
0,Total,C1,Total,3,40,0
1,Total,C2,Total,3,20,40
2,Total,C3,Total,6,5,197
3,Total,C4,Total,6,40,100
4,Total,C5,Total,6,1000,115
5,Total,C6,Total,6,145,60
0,Total,Total,1,3,40,0
1,Total,Total,2,3,20,40
2,Total,Total,3,6,5,197
3,Total,Total,4,6,40,100
4,Total,Total,5,6,1000,115
5,Total,Total,6,6,145,60
